TRAT	DIA	SUELO	CE	Repetici?	nmolg-1
Glu	1	2TEX	1.2	1	0.712076376
Glu	1	2TEX	1.2	2	0.301587377
Glu	1	2TEX	1.2	3	0.83358112
Glu	1	3TEX	1.2	1	1.042985004
Glu	1	3TEX	1.2	2	0.576711667
Glu	1	3TEX	1.2	3	0.18493556
Glu	1	5TEX	1.2	1	0.306279457
Glu	1	5TEX	1.2	2	1.575539157
Glu	1	5TEX	1.2	3	0.725717686
Glu	1	2TEX	80.2	1	4.784360866
Glu	1	2TEX	80.2	2	7.432000884
Glu	1	2TEX	80.2	3	6.416145816
Glu	1	3TEX	80.2	1	0.424638691
Glu	1	3TEX	80.2	2	0.270981399
Glu	1	3TEX	80.2	3	0.468862856
Glu	1	5TEX	80.2	1	5.429186248
Glu	1	5TEX	80.2	2	4.9865413
Glu	1	5TEX	80.2	3	6.650172748
Glu	1	2TEX	95.2	1	0.035343966
Glu	1	2TEX	95.2	2	0.027966131
Glu	1	2TEX	95.2	3	0.020631822
Glu	1	3TEX	95.2	1	0.02450845
Glu	1	3TEX	95.2	2	0.019289965
Glu	1	3TEX	95.2	3	0.021937634
Glu	1	5TEX	95.2	1	0.017602952
Glu	1	5TEX	95.2	2	0.023239365
Glu	1	5TEX	95.2	3	0.016627334
Glu	2	2TEX	1.2	1	3.521975829
Glu	2	2TEX	1.2	2	24.17196459
Glu	2	2TEX	1.2	3	28.73852726
Glu	2	3TEX	1.2	1	44.59345606
Glu	2	3TEX	1.2	2	77.72715008
Glu	2	3TEX	1.2	3	72.40114671
Glu	2	5TEX	1.2	1	26.55339891
Glu	2	5TEX	1.2	2	75.29580976
Glu	2	5TEX	1.2	3	101.4604509
Glu	2	2TEX	80.2	1	101.5798576
Glu	2	2TEX	80.2	2	102.3010914
Glu	2	2TEX	80.2	3	156.6068859
Glu	2	3TEX	80.2	1	22.85093686
Glu	2	3TEX	80.2	2	23.34880082
Glu	2	3TEX	80.2	3	32.92272812
Glu	2	5TEX	80.2	1	107.3135129
Glu	2	5TEX	80.2	2	109.02643
Glu	2	5TEX	80.2	3	117.6605415
Glu	2	2TEX	95.2	1	0.8248729
Glu	2	2TEX	95.2	2	0.769667728
Glu	2	2TEX	95.2	3	0.431943039
Glu	2	3TEX	95.2	1	0.116155143
Glu	2	3TEX	95.2	2	0.090376304
Glu	2	3TEX	95.2	3	0.077515458
Glu	2	5TEX	95.2	1	0.180049653
Glu	2	5TEX	95.2	2	0.103920742
Glu	2	5TEX	95.2	3	0.139743926
Glu	3	2TEX	1.2	1	2044.272661
Glu	3	2TEX	1.2	2	2452.055055
Glu	3	2TEX	1.2	3	2759.353682
Glu	3	3TEX	1.2	1	1969.11976
Glu	3	3TEX	1.2	2	1804.99682
Glu	3	3TEX	1.2	3	1459.010063
Glu	3	5TEX	1.2	1	2280.850055
Glu	3	5TEX	1.2	2	2277.226885
Glu	3	5TEX	1.2	3	2820.001311
Glu	3	2TEX	80.2	1	1019.875743
Glu	3	2TEX	80.2	2	1483.675681
Glu	3	2TEX	80.2	3	1319.775607
Glu	3	3TEX	80.2	1	627.5690497
Glu	3	3TEX	80.2	2	809.3869099
Glu	3	3TEX	80.2	3	713.0878713
Glu	3	5TEX	80.2	1	1793.112072
Glu	3	5TEX	80.2	2	1210.542918
Glu	3	5TEX	80.2	3	1526.295741
Glu	3	2TEX	95.2	1	27.15362833
Glu	3	2TEX	95.2	2	33.43798184
Glu	3	2TEX	95.2	3	30.93078269
Glu	3	3TEX	95.2	1	16.00731665
Glu	3	3TEX	95.2	2	11.11272361
Glu	3	3TEX	95.2	3	6.669680759
Glu	3	5TEX	95.2	1	3.368988044
Glu	3	5TEX	95.2	2	7.592271663
Glu	3	5TEX	95.2	3	7.192486133
Glu	4	2TEX	1.2	1	1280.388089
Glu	4	2TEX	1.2	2	1429.702589
Glu	4	2TEX	1.2	3	1412.301418
Glu	4	3TEX	1.2	1	727.3544883
Glu	4	3TEX	1.2	2	1085.571551
Glu	4	3TEX	1.2	3	1078.368073
Glu	4	5TEX	1.2	1	1124.921461
Glu	4	5TEX	1.2	2	1125.56913
Glu	4	5TEX	1.2	3	1229.551163
Glu	4	2TEX	80.2	1	502.9979748
Glu	4	2TEX	80.2	2	497.9463049
Glu	4	2TEX	80.2	3	537.2076912
Glu	4	3TEX	80.2	1	275.5284647
Glu	4	3TEX	80.2	2	419.6563745
Glu	4	3TEX	80.2	3	437.9989912
Glu	4	5TEX	80.2	1	508.5029429
Glu	4	5TEX	80.2	2	520.5182563
Glu	4	5TEX	80.2	3	452.6874485
Glu	4	2TEX	95.2	1	53.34621322
Glu	4	2TEX	95.2	2	49.58385357
Glu	4	2TEX	95.2	3	47.40646542
Glu	4	3TEX	95.2	1	16.10989683
Glu	4	3TEX	95.2	2	16.77942193
Glu	4	3TEX	95.2	3	10.44868842
Glu	4	5TEX	95.2	1	12.75081849
Glu	4	5TEX	95.2	2	6.091937333
Glu	4	5TEX	95.2	3	6.976034238
Glu	5	2TEX	1.2	1	1586.63068
Glu	5	2TEX	1.2	3	1678.157035
Glu	5	2TEX	1.2	2	1237.689965
Glu	5	3TEX	1.2	2	1066.211859
Glu	5	3TEX	1.2	3	1111.863178
Glu	5	3TEX	1.2	1	867.9431924
Glu	5	5TEX	1.2	1	1247.222285
Glu	5	5TEX	1.2	2	1379.191951
Glu	5	5TEX	1.2	3	1264.374823
Glu	5	2TEX	80.2	1	833.693601
Glu	5	2TEX	80.2	1	736.2344134
Glu	5	2TEX	80.2	2	757.9484906
Glu	5	3TEX	80.2	2	831.1160437
Glu	5	3TEX	80.2	3	691.9377068
Glu	5	3TEX	80.2	1	716.0350849
Glu	5	5TEX	80.2	3	634.2688091
Glu	5	5TEX	80.2	2	704.9216228
Glu	5	5TEX	80.2	3	728.8974011
Glu	5	2TEX	95.2	1	159.1130298
Glu	5	2TEX	95.2	1	208.9248914
Glu	5	2TEX	95.2	2	162.4006746
Glu	5	3TEX	95.2	2	41.25565815
Glu	5	3TEX	95.2	3	92.32652092
Glu	5	3TEX	95.2	1	53.93950041
Glu	5	5TEX	95.2	3	25.96847429
Glu	5	5TEX	95.2	2	35.61524997
Glu	5	5TEX	95.2	3	39.183157
Glu	6	2TEX	1.2	1	2008.975025
Glu	6	2TEX	1.2	2	884.0796839
Glu	6	2TEX	1.2	3	1424.311148
Glu	6	3TEX	1.2	1	679.0086114
Glu	6	3TEX	1.2	2	1493.795898
Glu	6	3TEX	1.2	3	1538.117612
Glu	6	5TEX	1.2	1	1510.923227
Glu	6	5TEX	1.2	2	1843.767657
Glu	6	5TEX	1.2	3	1428.617294
Glu	6	2TEX	80.2	1	898.0332928
Glu	6	2TEX	80.2	2	952.9987783
Glu	6	2TEX	80.2	3	908.2508135
Glu	6	3TEX	80.2	1	1210.377951
Glu	6	3TEX	80.2	2	1266.459348
Glu	6	3TEX	80.2	3	940.6141046
Glu	6	5TEX	80.2	1	707.1430514
Glu	6	5TEX	80.2	2	776.2256264
Glu	6	5TEX	80.2	3	676.3617984
Glu	6	2TEX	95.2	1	426.8406832
Glu	6	2TEX	95.2	2	630.7714392
Glu	6	2TEX	95.2	3	493.1501824
Glu	6	3TEX	95.2	1	217.4581067
Glu	6	3TEX	95.2	2	255.5976701
Glu	6	3TEX	95.2	3	190.9139899
Glu	6	5TEX	95.2	1	89.731081
Glu	6	5TEX	95.2	2	91.97215564
Glu	6	5TEX	95.2	3	82.53721035
Glu	7	2TEX	1.2	1	365.9373529
Glu	7	2TEX	1.2	3	582.0492826
Glu	7	2TEX	1.2	2	284.8146964
Glu	7	3TEX	1.2	2	621.0865634
Glu	7	3TEX	1.2	3	762.3402101
Glu	7	3TEX	1.2	1	628.525395
Glu	7	5TEX	1.2	2	1367.012186
Glu	7	5TEX	1.2	3	1476.397235
Glu	7	5TEX	1.2	1	1350.331397
Glu	7	2TEX	80.2	1	810.0521429
Glu	7	2TEX	80.2	2	577.83625
Glu	7	2TEX	80.2	3	743.6011607
Glu	7	3TEX	80.2	2	1519.9475
Glu	7	3TEX	80.2	3	1444.438839
Glu	7	3TEX	80.2	1	1236.709554
Glu	7	5TEX	80.2	2	658.8708694
Glu	7	5TEX	80.2	3	675.0498232
Glu	7	5TEX	80.2	1	644.2206779
Glu	7	2TEX	95.2	1	624.480986
Glu	7	2TEX	95.2	3	644.4345189
Glu	7	2TEX	95.2	2	749.4443922
Glu	7	3TEX	95.2	3	443.6220882
Glu	7	3TEX	95.2	1	439.37093
Glu	7	3TEX	95.2	2	423.945
Glu	7	5TEX	95.2	3	163.1629464
Glu	7	5TEX	95.2	2	208.6958036
Glu	7	5TEX	95.2	1	219.6647619
NH4+Glu	1	2TEX	1.2	1	0.083168012
NH4+Glu	1	2TEX	1.2	2	0.061168731
NH4+Glu	1	2TEX	1.2	3	0.072883795
NH4+Glu	1	3TEX	1.2	1	0.059204399
NH4+Glu	1	3TEX	1.2	2	0.065490055
NH4+Glu	1	3TEX	1.2	3	0.060786349
NH4+Glu	1	5TEX	1.2	1	0.046299704
NH4+Glu	1	5TEX	1.2	2	0.047849103
NH4+Glu	1	5TEX	1.2	3	0.041469223
NH4+Glu	1	2TEX	80.2	1	0.025250553
NH4+Glu	1	2TEX	80.2	2	0
NH4+Glu	1	2TEX	80.2	3	0
NH4+Glu	1	3TEX	80.2	1	0.020095595
NH4+Glu	1	3TEX	80.2	2	0.016251221
NH4+Glu	1	3TEX	80.2	3	0.01502801
NH4+Glu	1	5TEX	80.2	1	0.024510459
NH4+Glu	1	5TEX	80.2	2	0.039560741
NH4+Glu	1	5TEX	80.2	3	0.025886485
NH4+Glu	1	2TEX	95.2	1	0.024472426
NH4+Glu	1	2TEX	95.2	2	0.024656079
NH4+Glu	1	2TEX	95.2	3	0.025963578
NH4+Glu	1	3TEX	95.2	1	0.028925323
NH4+Glu	1	3TEX	95.2	2	0.028638536
NH4+Glu	1	3TEX	95.2	3	0.028838978
NH4+Glu	1	5TEX	95.2	1	0.031716092
NH4+Glu	1	5TEX	95.2	2	0.028920183
